caldt,VBINX,VPACX,VEURX,VEIEX,VFINX,VEXMX,VVIAX,NAESX,VISVX,VISGX,VIMSX
2009-07-31,0.052847915,0.071917808,0.107692308,0.1155,0.075779037,0.089312977,0.080415045,0.096847876,0.106382979,0.086602517,0.090054816
2009-08-31,0.026213051,0.033013845,0.054292929,-0.006275213,0.035988589,0.037140855,0.051020408,0.044564765,0.061188811,0.027929155,0.049568966
2009-09-30,0.029758857,0.019587629,0.051097804,0.092918358,0.037167896,0.060810811,0.034054195,0.063397129,0.055189456,0.071570577,0.062286105
2009-10-30,-0.013276686,-0.028311426,-0.021268515,-0.01361948,-0.018676244,-0.058598726,-0.02668149,-0.066366704,-0.06323185,-0.06864564,-0.043814433
2009-11-30,0.038751346,0.016649324,0.039968956,0.058995816,0.059813866,0.038903924,0.059965734,0.033333333,0.036666667,0.029216467,0.049191375
2009-12-31,0.010310828,0.017072247,0.004608828,0.035976283,0.019454989,0.074141844,0.012373772,0.078759411,0.068768148,0.088813694,0.061742097
2010-01-29,-0.01498708,-0.01446281,-0.062837317,-0.062548263,-0.036037791,-0.033670034,-0.024691358,-0.033466715,-0.030627871,-0.036244801,-0.035452323
2010-02-26,0.020986359,0.019916143,-0.010695187,0.010708402,0.03091846,0.047830219,0.025866813,0.04968009,0.052132701,0.046855734,0.051964512
2010-03-31,0.03740455,0.058581706,0.063617464,0.081499593,0.060135501,0.075302196,0.061435639,0.080816834,0.080027848,0.081272085,0.070602613
2010-04-30,0.017430279,-0.010679612,-0.028928851,0.002637528,0.015780191,0.049761035,0.018292683,0.055408096,0.061891516,0.049019608,0.036015757
2010-05-28,-0.04454234,-0.095191364,-0.122383253,-0.093198046,-0.080051174,-0.075254419,-0.077844311,-0.077962905,-0.079895219,-0.075285566,-0.073329712
2010-06-30,-0.027497975,-0.022776573,-0.011009174,-0.000414422,-0.052394568,-0.070663191,-0.051146915,-0.075690419,-0.080427046,-0.071308254,-0.061547479
2010-07-30,0.045045045,0.072142064,0.128942486,0.092454395,0.069961016,0.070738548,0.065442021,0.07156031,0.074303406,0.068923821,0.068707058
2010-08-31,-0.023326572,-0.023809524,-0.043138866,-0.022390892,-0.045297883,-0.057334109,-0.042025862,-0.066092943,-0.067002882,-0.065045249,-0.045002922
2010-09-30,0.055925535,0.077412513,0.113782739,0.111801242,0.089188959,0.113615313,0.075296004,0.119793586,0.104247104,0.136116152,0.105875153
2010-10-29,0.025235032,0.023622047,0.046646106,0.029678771,0.037883114,0.042140283,0.027382833,0.040816327,0.035664336,0.045260916,0.04039845
2010-11-30,0.001447876,0.002884615,-0.079926335,-0.02712784,0,0.031657356,-0.005638134,0.030676787,0.022957461,0.038716251,0.021808511
2010-12-31,0.036550384,0.074418559,0.089414597,0.073011494,0.066713379,0.072958295,0.078724953,0.077188325,0.075542373,0.078740445,0.06833891
2011-01-31,0.013564079,-0.001839926,0.035114504,-0.027686223,0.023571059,0.014057198,0.028860029,0.008633094,0.006246096,0.010492701,0.022648941
2011-02-28,0.022611906,0.039631336,0.033923304,-0.008474576,0.034162801,0.04708413,0.039738195,0.053352354,0.046554935,0.060496614,0.039961483
2011-03-31,0.002296915,-0.057624113,-0.009272468,0.055726496,0.000256177,0.021898139,0.000708709,0.024162585,0.014950633,0.032443459,0.017225405
2011-04-29,0.023529412,0.031044214,0.082073434,0.034650259,0.029479201,0.027479893,0.029371893,0.029357313,0.023962595,0.035051546,0.027309968
2011-05-31,-0.001768347,-0.026459854,-0.030272788,-0.028169014,-0.011454025,-0.013481192,-0.013608428,-0.020298047,-0.021118721,-0.019521912,-0.00443066
2011-06-30,-0.0121067,0.005623243,-0.02058319,-0.015136876,-0.016722793,-0.023363456,-0.021089723,-0.019931812,-0.020991254,-0.019504267,-0.024032043
2011-07-29,-0.007210455,0.01304753,-0.037127846,-0.008175278,-0.020468557,-0.031821259,-0.0347508,-0.037195611,-0.034544372,-0.039370079,-0.034655723
2011-08-31,-0.028143441,-0.066237351,-0.100763914,-0.085393999,-0.054464585,-0.083216783,-0.057792515,-0.083101723,-0.080814312,-0.084987058,-0.070382617
2011-09-30,-0.043937417,-0.085714286,-0.114886731,-0.16186013,-0.070425854,-0.110348335,-0.070780767,-0.110033343,-0.106040268,-0.114097124,-0.098577236
